org,repo_name,commit_sha,author,author_email,message,date,day_of_week,hour_of_day
microsoft,vscode,8d320c0aa96d75bed94337c36e15862396f0d8c4,User8910,User8910@example.com,Update bug,2023-02-07T00:55:00Z,Tuesday,0
microsoft,vscode,59c07f820b9eaa0dbf0c4490d86f7574be2db887,User8695,User8695@example.com,Update bug,2024-01-29T11:49:00Z,Monday,11
microsoft,vscode,3244c2a08a98f0de787dc18d87d7a16910819f25,User8538,User8538@example.com,Update docs,2024-12-18T18:43:00Z,Wednesday,18
microsoft,vscode,e3b9be313881a7f94d1c98f5bbf5cd74736e5cc5,User9602,User9602@example.com,Update docs,2024-10-15T09:54:00Z,Tuesday,9
microsoft,vscode,a83c602abf76dcd39e968a80fc2310e4a1c96cad,User6952,User6952@example.com,Update test,2024-05-24T03:05:00Z,Friday,3
microsoft,vscode,e90fb9c4f96de3185299a5ea2cacc9de2859aa2c,User3301,User3301@example.com,Update feature,2023-02-18T00:20:00Z,Saturday,0
microsoft,vscode,2a3f369c5a498ddf883087aaf866b24c2f8a03fe,User9464,User9464@example.com,Update docs,2024-01-27T16:36:00Z,Saturday,16
microsoft,vscode,83725e013804edf9ad864fe52434085b67eaaa2e,User7117,User7117@example.com,Update docs,2023-03-30T15:10:00Z,Thursday,15
microsoft,vscode,40d5ad6ab5083a81ab713397c40e75ea4cfe8f2c,User8538,User8538@example.com,Update test,2023-07-14T07:14:00Z,Friday,7
microsoft,vscode,ed5f53bf7d46ad53b53b949a7996accfbcc0114c,User7602,User7602@example.com,Update bug,2023-06-01T08:42:00Z,Thursday,8
microsoft,vscode,0ac9b8f229d3595ac8af1201899d93bf45165b2e,User6952,User6952@example.com,Update refactor,2024-10-06T20:52:00Z,Sunday,20
microsoft,vscode,cd12a5425ed1b1679b1afb43140eaed09b9dbc41,User6719,User6719@example.com,Update feature,2024-01-27T09:32:00Z,Saturday,9
